,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.524,7.6,7.67,7.7,7.56,7.64,3054043.0,1.3255400000000002,23252250.0,26.207,2.624,437760.0,175104.0
1,603998,方盛制药,-1.514,11.71,11.85,11.85,11.65,11.89,1300823.0,0.30593000000000004,15225072.0,73.188,5.049,504626.60637,497905.35912
2,603997,继峰股份,0.546,11.05,11.0,11.05,10.94,10.99,1062500.0,0.6213500000000001,11672702.0,18.729,4.221,696150.0,188955.0
3,603996,中新科技,-0.333,17.95,17.99,18.18,17.8,18.01,1573700.0,1.5238,28264961.0,46.026,3.793,538769.25,185378.625
4,603993,洛阳钼业,-1.673,7.64,7.7,7.85,7.61,7.77,217215210.0,1.67685,1674275027.0,127.333,4.427,16501819.805412,9896650.254036
5,603991,至正股份,-0.772,28.27,28.26,28.69,28.21,28.49,581392.0,3.10905,16482027.0,42.194,4.747,210710.439346,52864.9
6,603990,麦迪科技,0.237,38.05,37.64,38.17,37.64,37.96,167700.0,0.27824000000000004,6364669.0,50.733,7.506,307910.493,229334.96
7,603989,艾华集团,-0.55,41.6,42.3,42.99,41.35,41.83,4481762.0,5.31172,189592405.0,47.273,7.068,1248000.0,351000.0
8,603988,中电电机,2.298,48.53,47.7,48.65,47.09,47.44,338452.0,0.28204,16225977.0,161.767,5.899,582360.0,582360.0
9,603987,康德莱,-1.763,12.26,12.49,12.49,12.18,12.48,2034979.0,1.07064,25100693.0,19.774,3.228,386723.31,233027.5977
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0.0,0.0,0.0,77.049,20.619,3306111.821008,2403497.3492
11,603985,恒润股份,0.238,37.88,38.05,38.05,37.59,37.79,540907.0,2.70454,20414603.0,23.996,3.106,303040.0,75760.0
12,603980,吉华集团,-1.98,20.79,20.9,21.13,20.7,21.21,3361600.0,3.3616,70250737.0,21.747,2.681,1039500.0,207900.0
13,603979,金诚信,2.749,10.84,10.56,10.86,10.5,10.55,7770431.0,3.1955999999999998,83568996.0,25.81,1.6680000000000001,634140.0,263585.78688
14,603978,深圳新星,-2.62,82.5,83.99,84.66,81.8,84.72,1139876.0,5.69938,94513617.0,37.33,5.09,660000.0,165000.0
15,603977,国泰集团,-1.532,13.5,13.73,13.73,13.44,13.71,1042219.0,0.8292600000000001,14196886.0,22.881,3.188,298458.0,169668.0
16,603976,正川股份,-0.458,28.28,28.21,28.62,27.8,28.41,1801824.0,6.67342,50750151.0,32.506,3.258,305424.0,76356.0
17,603970,中农立华,-3.534,29.21,30.4,30.56,29.07,30.28,5473752.0,16.42122,162360951.0,35.744,7.737,389466.8614,97366.8614
18,603969,银龙股份,0.814,13.63,13.56,14.25,13.56,13.52,12886521.0,8.44295,178682699.0,37.861,3.408,545200.0,208035.3715
19,603968,醋化股份,-1.034,19.15,19.37,19.37,19.01,19.35,1026900.0,0.7517600000000001,19679001.0,26.597,3.046,391579.2,261589.0
20,603966,法兰泰克,-0.615,16.17,16.25,16.53,16.1,16.27,870835.0,2.17709,14176297.0,34.404,3.231,258720.0,64680.0
21,603963,大理药业,-4.047,31.3,32.08,32.28,31.17,32.62,3969607.0,15.87843,125438283.0,37.711,6.834,313000.0,78250.0
22,603960,克来机电,-0.495,28.14,28.19,28.52,28.02,28.28,333050.0,1.28096,9413818.0,46.9,7.038,292656.0,73164.0
23,603959,百利科技,1.449,32.2,31.72,32.68,31.51,31.74,1181510.0,1.11768,38095502.0,60.755,7.941,721280.0,340388.68906
24,603958,哈森股份,0.576,13.98,13.99,14.17,13.9,13.9,1864060.0,2.82438,26168000.0,33.05,2.677,303869.28,92266.596408
25,603955,大千生态,-0.024,41.18,41.32,41.67,40.62,41.19,1065167.0,4.897320000000001,43760257.0,38.572,3.453,358266.0,89566.5
26,603939,益丰药房,0.411,43.99,43.81,44.48,43.26,43.81,1075098.0,0.5410600000000001,47137133.0,66.35,5.19,1595493.800542,874092.992542
27,603938,三孚股份,-1.991,37.41,38.39,38.48,37.33,38.17,2054594.0,5.47066,77477134.0,51.958,6.038,561773.2506,140499.2406
28,603937,丽岛新材,2.634,26.5,25.38,26.71,24.73,25.82,21420789.0,41.02028,552012282.0,47.321,5.393,553532.0,138383.0
29,603936,博敏电子,1.201,24.44,24.28,24.94,24.16,24.15,1295800.0,2.3098,31810596.0,76.614,4.17,409003.4,137108.4
30,603933,睿能科技,-1.29,50.49,50.99,50.99,50.01,51.15,828284.0,3.22666,41871727.0,41.614,5.38,518380.83,129607.83
31,603929,亚翔集成,-4.961,25.67,27.0,27.0,25.5,27.01,3010867.0,3.11813,78229898.0,24.922,5.733,547695.12,247869.52
32,603928,兴业股份,-0.527,15.09,15.15,15.19,15.02,15.17,699692.0,1.11467,10565964.0,22.191,2.784,304214.4,94722.1935
33,603926,铁流股份,-0.753,26.37,26.58,26.65,26.17,26.57,590291.0,1.96764,15569310.0,21.266,2.755,316440.0,79110.0
34,603922,金鸿顺,2.849,30.32,29.31,30.6,28.9,29.48,7145169.0,22.32865,213304628.0,27.315,5.021,388096.0,97024.0
35,603920,世运电路,-2.618,18.97,19.32,19.59,18.91,19.48,5428300.0,6.11295,104268841.0,22.318,3.2800000000000002,762214.6,168453.6
36,603919,金徽酒,0.488,18.55,18.45,18.64,18.3,18.46,1483780.0,1.2809,27395177.0,21.824,3.856,675220.0,214880.32475
